Date;Open;High;Low;Close;Adj Close;Volume;y;predn;SES open;SES High;SES Low;SES Close;SES Adj Close;SES Volume;MACD;MTM;RSI;ATR;ADOSC;CCI;MFI;ULTSOC;Donchian upper;Donchian Lower;Donchian Medium;Upper BB;Lower BB;OBV;SMA;TSI;CC;SO%k;SO%d;MI;1-EMV;15-EMV;+VI;-VI;CO;ROC
02/01/2017;311.25;311.25;311.25;311.25;310.128021;0;310.128021;1;311.25;311.25;311.25;311.25;310.128021;0;0;;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
03/01/2017;311.25;312.5;311.25;312.5;311.373535;51200;1.245514;1;311.25;311.875;311.25;311.875;310.750778;25600;0;;0;0;-66496.26624;0;0;0;;;;0;0;25600;0;0;0;0;0;0;762.9394531;0;0;0;0;
04/01/2017;312.5;312.5;312.5;312.5;311.373535;40400;0;1;311.875;312.1875;311.875;312.1875;311.0621565;33000;0;;0;0;-271168.8134;0;0;0;;;;0;0;58600;0;0;0;0;0;0;-147.9640152;0;0;0;0;
05/01/2017;312.5;313.75;281.25;313.75;312.619019;445600;1.245484;1;312.1875;312.96875;296.5625;312.96875;311.8405878;239300;0;;0;0;-64779.34771;0;0;0;;;;0;0;297900;0;0;0;0;0;0;55168.8437;0;0;0;0;
06/01/2017;313.75;321.25;312.5;318.75;317.601013;264800;4.981994;1;312.96875;317.109375;304.53125;315.859375;314.7208004;252050;0;;0;0;91542.51567;0;0;0;;;;0;0;549950;0;0;0;0;0;0;-9551.802175;0;0;0;0;
09/01/2017;318.75;322.5;318.75;322.5;321.337494;229200;3.736481;1;315.859375;319.8046875;311.640625;319.1796875;318.0291472;240625;0;;0;0;227504.0867;0;0;0;;;;0;0;790575;0;0;0;0;0;0;-7488.141741;0;0;0;0;
10/01/2017;322.5;322.5;300;322.5;321.337494;624000;0;-1;319.1796875;321.1523438;305.8203125;320.8398438;319.6833206;432312.5;0;;0;0;576973.4118;0;0;0;;;;0;0;1222887.5;0;0;0;0;0;0;12710.65732;0;0;0;0;
11/01/2017;322.5;322.5;300;312.5;311.373535;204800;-9.963959;1;320.8398438;321.8261719;302.9101563;316.6699219;315.5284278;318556.25;0;;0;0;683414.6185;0;0;0;;;;0;0;904331.25;0;0;0;0;0;0;10640.93146;0;0;0;0;
12/01/2017;312.5;320;312.5;320;318.846497;25200;7.472962;-1;316.6699219;320.9130859;307.7050781;318.3349609;317.1874624;171878.125;0;;0;0;758328.3568;0;0;0;;;;0;0;1076209.375;0;0;0;0;0;0;-21931.64831;0;0;0;0;
13/01/2017;318.75;318.75;318.75;318.75;317.601013;83200;-1.245484;-1;317.7099609;319.831543;313.2275391;318.5424805;317.3942377;127539.0625;0;;0;0;791727.0664;0;0;0;;;;0;0;1203748.438;0;0;0;0;0;0;-17097.84702;0;0;0;441383.1548;
16/01/2017;318.75;318.75;277.5;300;298.918579;294800;-18.682434;1;318.2299805;319.2907715;295.3637695;309.2712402;308.1564083;211169.5313;0;;0;0;806362.3015;0;0;0;;;;0;0;992578.9063;0;0;0;0;0;0;98140.9121;0;0;0;390491.767;
17/01/2017;300;307.5;300;306.25;305.146057;48000;6.227478;-1;309.1149902;313.3953857;297.6818848;307.7606201;306.6512327;129584.7656;0;;0;0;824712.8494;0;0;0;;;;0;0;862994.1406;0;0;0;0;0;0;-49798.62216;0;0;0;340012.122;
18/01/2017;306.25;306.25;292.5;300;298.918579;131200;-6.227478;1;307.6824951;309.8226929;295.0909424;303.8803101;302.7849058;130392.3828;0;;0;0;830520.7408;0;0;0;;;;0;0;732601.7578;0;0;0;0;0;0;-5545.91569;0;0;0;290299.1307;
19/01/2017;300;300;300;300;298.918579;17200;0;1;303.8412476;304.9113464;297.5454712;301.940155;300.8517424;73796.19141;0;;0;0;822973.3566;0;0;0;;;;0;0;658805.5664;0;0;0;0;0;0;-36760.78472;0;0;0;241169.7274;
20/01/2017;300;300;292.5;300;298.918579;264400;0;1;301.9206238;302.4556732;295.0227356;300.9700775;299.8851607;169098.0957;0;;0;0;875113.9875;-150.9660171;33.70036576;0;;;;323.2066308;298.7472878;489707.4707;310.9769593;0;0;22.1887293;0;0;147.3909182;0;0;0;215737.0152;
23/01/2017;300;300;287.5;300;298.918579;211200;0;1;300.9603119;301.2278366;291.2613678;300.4850388;299.4018699;190149.0479;0;-10.72615115;34.02342577;11.56864881;995588.2395;-137.2735894;31.46120185;0;319.6833206;299.8851607;309.7842407;323.7917036;296.7320615;299558.4229;310.2618825;0;0;30.17742543;0;0;6639.622933;2392.57147;0.8718673;1.044810548;224052.9845;-3.458620447
24/01/2017;298.75;320;298.75;320;318.846497;290800;19.927918;-1;299.8551559;310.6139183;295.0056839;310.2425194;309.1241834;240474.5239;0;-1.626594573;49.6483055;12.49273251;1190158.368;-39.55685098;36.35044393;0;319.6833206;299.4018699;309.5425952;323.6919231;296.6149627;540032.9468;310.1534429;0;0;62.10133568;38.15583014;0;18309.21597;3562.323238;0.907313909;1.000730343;268995.1959;-0.523440225
25/01/2017;317.5;317.5;312.5;317.5;316.355499;55200;-2.490998;1;308.677578;314.0569592;303.7528419;313.8712597;312.7398412;147837.262;0;1.677684714;53.99000741;13.08389219;1300201.201;20.90463179;38.72928542;0;319.6833206;299.4018699;309.5425952;323.8595543;296.6710228;687870.2087;310.2652886;0;0;73.97361957;55.41746023;0;-18484.59738;2339.881013;0.958614975;0.9904745;297940.1662;0.539340668
26/01/2017;317.5;325;302.5;325;323.828461;667600;7.472962;-1;313.088789;319.5284796;303.126421;319.4356298;318.2841511;407718.631;0;6.443563357;59.69929542;13.08361276;1646057.366;58.80828598;49.34595806;0;319.6833206;299.4018699;309.5425952;324.8564775;296.5332414;1095588.84;310.6948594;0;0;92.17877522;76.08457683;0;12265.66369;-520.330987;1.033446017;0.96657534;392740.964;2.066300414
27/01/2017;325;325;316.25;323.75;322.582977;308400;-1.245484;-1;319.0443945;322.2642398;309.6882105;321.5928149;320.4335641;358059.3155;0;5.712763678;61.67467787;13.08347305;1899872.252;96.28356459;51.04883698;0;319.6833206;299.4018699;309.5425952;325.9397726;296.2116481;1453648.155;311.0757104;0;0;97.83431398;87.99556959;0;-6719.03432;-331.4797967;1.026277225;0.973733454;476578.6664;1.815184656
